epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
147,3718.32,0.835,0.53111,0.93734,0.84702,0.57193,0.66104,0.31771,1.83418,0.9492,1.64752,0.00057572,0.00057572,0.00057572
148,3743.04,0.83186,0.51217,0.93803,0.84749,0.55548,0.65063,0.31773,1.83741,0.94883,1.62904,0.000572054,0.000572054,0.000572054
149,3767.49,0.84061,0.53226,0.94976,0.6444,0.58536,0.61672,0.29205,1.8828,0.96153,1.6369,0.000568388,0.000568388,0.000568388
150,3791.98,0.82805,0.5172,0.93253,0.70576,0.54255,0.61088,0.29016,1.86951,0.94519,1.63416,0.000564721,0.000564721,0.000564721
151,3816.75,0.85123,0.54154,0.95353,0.58132,0.56456,0.54829,0.27735,1.84643,0.95686,1.64017,0.000561055,0.000561055,0.000561055
152,3841.33,0.79342,0.50795,0.95403,0.60723,0.55095,0.56057,0.27778,1.8356,1.00392,1.62477,0.000557389,0.000557389,0.000557389
153,3866.36,0.78923,0.50699,0.93389,0.66218,0.5883,0.61798,0.29447,1.81048,1.0086,1.59284,0.000553722,0.000553722,0.000553722
154,3891.46,0.80337,0.51777,0.93309,0.68113,0.59553,0.6369,0.29653,1.84763,1.023,1.62869,0.000550056,0.000550056,0.000550056
155,3916.63,0.80193,0.50664,0.93257,0.59689,0.66428,0.63243,0.29253,1.89858,1.03404,1.65458,0.00054639,0.00054639,0.00054639
156,3941.95,0.80668,0.49731,0.9519,0.59895,0.67468,0.63616,0.29131,1.88627,1.0489,1.64927,0.000542723,0.000542723,0.000542723
157,3966.96,0.82311,0.51937,0.93623,0.72707,0.62494,0.64974,0.29731,1.86431,1.02776,1.63582,0.000539057,0.000539057,0.000539057
158,3992.16,0.7997,0.5071,0.94559,0.69643,0.71259,0.65871,0.30476,1.83226,0.99601,1.61298,0.000535391,0.000535391,0.000535391
159,4017.26,0.86317,0.53865,0.95487,0.70758,0.68986,0.6719,0.29226,1.83269,1.02577,1.61793,0.000531725,0.000531725,0.000531725
160,4041.9,0.79649,0.50512,0.95032,0.69165,0.67822,0.65847,0.28895,1.84375,1.03334,1.62348,0.000528058,0.000528058,0.000528058
161,4066.84,0.80627,0.52757,0.9467,0.63935,0.66157,0.63733,0.27348,1.8846,1.04934,1.62011,0.000524392,0.000524392,0.000524392
162,4091.1,0.79682,0.51256,0.93908,0.55006,0.64665,0.60522,0.2702,1.87859,1.04582,1.62543,0.000520726,0.000520726,0.000520726
163,4115.81,0.81737,0.53084,0.95566,0.55736,0.63603,0.59775,0.28323,1.83771,1.02117,1.62598,0.000517059,0.000517059,0.000517059
164,4140.29,0.78079,0.4978,0.92539,0.5596,0.64269,0.60791,0.28658,1.81935,1.01814,1.61594,0.000513393,0.000513393,0.000513393
165,4165.01,0.72907,0.47831,0.9192,0.60744,0.6693,0.65138,0.286,1.84814,1.02703,1.62386,0.000509727,0.000509727,0.000509727
166,4189.79,0.75302,0.48153,0.92455,0.63175,0.62282,0.62804,0.2815,1.84853,0.99407,1.62294,0.00050606,0.00050606,0.00050606
167,4214.67,0.76654,0.50862,0.93234,0.69695,0.51685,0.62944,0.2743,1.89043,1.04619,1.65907,0.000502394,0.000502394,0.000502394
168,4239.75,0.73656,0.48682,0.9089,0.58859,0.66949,0.62988,0.27185,1.89629,1.08876,1.66777,0.000498728,0.000498728,0.000498728
169,4264.75,0.778,0.4935,0.92273,0.58492,0.65674,0.61188,0.26958,1.86437,1.09078,1.6561,0.000495062,0.000495062,0.000495062
170,4289.7,0.80806,0.50171,0.93422,0.57179,0.67182,0.61049,0.268,1.87713,1.05692,1.66739,0.000491395,0.000491395,0.000491395
171,4315.03,0.77238,0.49281,0.91928,0.58419,0.6185,0.58696,0.25385,1.90288,1.05784,1.67691,0.000487729,0.000487729,0.000487729
172,4339.57,0.75629,0.48969,0.91865,0.69489,0.51053,0.56678,0.24657,1.90951,1.0616,1.68547,0.000484063,0.000484063,0.000484063
173,4364.86,0.78327,0.48742,0.94611,0.631,0.56923,0.56982,0.24874,1.8856,1.10347,1.69031,0.000480396,0.000480396,0.000480396
174,4389.42,0.79771,0.49812,0.93641,0.68725,0.58923,0.5854,0.26393,1.89594,1.11113,1.69251,0.00047673,0.00047673,0.00047673
175,4414.14,0.74812,0.48269,0.92336,0.62309,0.6003,0.60583,0.27893,1.88059,1.10587,1.67243,0.000473064,0.000473064,0.000473064
